PlayerID,Name,Country,Position,Club,Season,Salary
1709,Antonio Garcia,Italy,Centre-Back,Leicester City,2023,1709923
1710,Kai Silva,Italy,Right Winger,RB Leipzig,2022,18824834
1711,Ben Schmidt,Uruguay,Defensive Midfield,Crystal Palace,2022,8366851
1712,Kai Brown,Netherlands,Central Midfield,Liverpool FC,2022,16558354
1713,Florian Dubois,Italy,Defensive Midfield,Inter Milan,2024,22817010
1714,Sven Williams,Belgium,Right-Back,Inter Milan,2022,29273013
1715,Ben Brown,Spain,Left Winger,Everton FC,2023,3533226
1716,Diogo Santos,France,Left-Back,SL Benfica,2024,12046150
1717,Hugo Jones,Spain,Goalkeeper,Bayern Munich,2022,50636910
1718,Owen Dubois,Belgium,Defensive Midfield,Real Madrid,2022,17989565
1719,Florian Costa,Spain,Defensive Midfield,Man United,2024,25886238
1720,Hugo Santos,Senegal,Defensive Midfield,Atlético de Madrid,2023,26354584
1721,Ben Muller,France,Attacking Midfield,RB Leipzig,2024,11076792
1722,Ben Williams,Portugal,Left-Back,Tottenham Hotspur,2022,9812836
1723,Leo Bakker,Italy,Centre-Back,Man United,2022,20492186
1724,Enzo Rossi,Spain,Right-Back,Man City,2024,49350898
1725,Enzo Williams,France,Right-Back,Ajax Amsterdam,2023,3055429
1726,Ben Bakker,Argentina,Centre-Back,Chelsea FC,2023,30262326
1727,Ben Muller,Spain,Attacking Midfield,RB Leipzig,2023,10850568
1728,Ben Schmidt,Netherlands,Left Winger,Atlético de Madrid,2022,12614342
1729,Sven Brown,Germany,Central Midfield,Arsenal FC,2023,23011343
1730,Diogo Dubois,England,Central Midfield,Arsenal FC,2022,21967351
1731,Mateo Jones,Portugal,Left Winger,Man United,2022,60704870
1732,Sven Santos,Netherlands,Left Winger,RB Leipzig,2022,12043822
1733,Liam Silva,Wales,Centre-Forward,FC Porto,2023,8424308
1734,Sven Garcia,Brazil,Right Winger,SL Benfica,2023,3548469
1735,Enzo Garcia,Argentina,Left Winger,FC Barcelona,2022,16282576
1736,Hugo Silva,Colombia,Left Winger,Real Sociedad,2024,10057232
1737,Javier Dubois,Colombia,Right-Back,Inter Milan,2023,12218528
1738,Ben Fernandez,Italy,Centre-Back,Sevilla FC,2022,7111599
1739,Liam Brown,Brazil,Centre-Forward,Tottenham Hotspur,2022,17779541
1740,Florian Bakker,Germany,Right Winger,Olympique Lyon,2023,7562441
1741,Ben Dubois,France,Right-Back,AC Milan,2023,11087919
1742,Owen Bakker,Germany,Goalkeeper,Inter Milan,2023,11862387
1743,Antonio Santos,France,Central Midfield,West Ham United,2024,6553358
1744,Arthur Williams,Brazil,Defensive Midfield,SL Benfica,2022,7599503
1745,Hugo Costa,Italy,Attacking Midfield,Aston Villa,2022,5629733
1746,Javier Brown,France,Right-Back,Atlético de Madrid,2024,14569080
1747,Diogo Garcia,Italy,Right Winger,RB Leipzig,2024,10755359
1748,Liam Fernandez,Spain,Defensive Midfield,AC Milan,2022,14970664
1749,Leo Bakker,Portugal,Attacking Midfield,West Ham United,2023,13324429
1750,Kai Fernandez,Spain,Defensive Midfield,Crystal Palace,2022,6497160
1751,Diogo Dubois,Portugal,Centre-Back,FC Porto,2022,4013467
1752,Mateo Rossi,Portugal,Centre-Forward,Bayern Munich,2024,63880526
1753,Enzo Santos,Germany,Attacking Midfield,Juventus FC,2022,17095172
1754,Liam Muller,Spain,Central Midfield,AS Roma,2022,11734647
1755,Ben Schmidt,Brazil,Central Midfield,Arsenal FC,2022,12845386
1756,Enzo Silva,Germany,Defensive Midfield,SSC Napoli,2022,14771563
1757,Owen Silva,Spain,Centre-Back,Chelsea FC,2023,28304179
1758,Mateo Garcia,Brazil,Left Winger,Olympique Marseille,2022,1285264
1759,Antonio Rossi,France,Goalkeeper,Inter Milan,2023,30306280
1760,Ben Schmidt,Spain,Right Winger,Juventus FC,2023,23126237
1761,Enzo Schmidt,Uruguay,Attacking Midfield,Olympique Lyon,2024,8231325
1762,Owen Jones,France,Right-Back,Liverpool FC,2023,26108802
1763,Diogo Rossi,Uruguay,Right-Back,Chelsea FC,2023,18552845
1764,Mateo Muller,Brazil,Right Winger,Everton FC,2024,6512755
1765,Antonio Costa,Belgium,Left-Back,Juventus FC,2024,16101620
1766,Sven Silva,Germany,Left-Back,Borussia Dortmund,2023,7241924
1767,Diogo Santos,Argentina,Left-Back,Aston Villa,2023,2858837
1768,Mateo Jones,Portugal,Centre-Back,Tottenham Hotspur,2023,18738490
1769,Hugo Jones,England,Left-Back,Real Madrid,2024,36324665
1770,Arthur Fernandez,Germany,Right Winger,Olympique Marseille,2024,1102028
1771,Mateo Muller,Germany,Attacking Midfield,West Ham United,2022,6408101
1772,Leo Silva,Germany,Centre-Forward,Juventus FC,2023,27228369
1773,Mateo Garcia,France,Central Midfield,Tottenham Hotspur,2022,8729035
1774,Enzo Silva,Germany,Left Winger,Everton FC,2023,4249963
1775,Owen Jones,France,Attacking Midfield,Olympique Marseille,2024,4581943
1776,Enzo Costa,Spain,Left Winger,Aston Villa,2022,13309567
1777,Florian Silva,Germany,Defensive Midfield,AC Milan,2022,12315096
1778,Javier Schmidt,Argentina,Defensive Midfield,Real Sociedad,2022,3433210
1779,Antonio Muller,Brazil,Right Winger,Chelsea FC,2023,31516678
1780,Florian Schmidt,Germany,Right-Back,Sevilla FC,2022,14560659
1781,Hugo Silva,Brazil,Central Midfield,Borussia Dortmund,2024,14041473
1782,Javier Santos,France,Goalkeeper,Borussia Dortmund,2022,7177374
1783,Liam Rossi,Italy,Defensive Midfield,FC Barcelona,2023,27710292
1784,Arthur Williams,Brazil,Left Winger,AC Milan,2022,9294260
1785,Ben Costa,Brazil,Centre-Forward,Crystal Palace,2024,9086910
1786,Florian Silva,Brazil,Left-Back,Leicester City,2023,7966658
1787,Mateo Williams,Portugal,Left-Back,Olympique Marseille,2022,8454218
1788,Ben Dubois,England,Right-Back,Borussia Dortmund,2024,17635171
1789,Antonio Muller,France,Right Winger,Inter Milan,2022,29295670
1790,Ben Bakker,England,Right-Back,FC Porto,2022,12251468
1791,Sven Dubois,Croatia,Defensive Midfield,Aston Villa,2022,6450568
1792,Mateo Jones,Brazil,Centre-Forward,Liverpool FC,2023,28042445
1793,Florian Rossi,England,Centre-Forward,Paris Saint-Germain,2022,58131435
1794,Sven Muller,Belgium,Right-Back,Juventus FC,2022,26161323
1795,Kai Schmidt,Netherlands,Left-Back,Paris Saint-Germain,2023,36631194
1796,Kai Garcia,France,Right-Back,AC Milan,2023,7589048
1797,Diogo Silva,Uruguay,Right-Back,Borussia Dortmund,2022,9415870
1798,Antonio Rossi,Spain,Left-Back,FC Barcelona,2024,27707216
1799,Diogo Jones,Croatia,Goalkeeper,AS Roma,2022,9378235
1800,Ben Dubois,England,Defensive Midfield,Aston Villa,2024,11693894
1801,Leo Rossi,Portugal,Left Winger,Crystal Palace,2023,8610078
1802,Hugo Bakker,England,Centre-Forward,Borussia Dortmund,2023,9656829
1803,Enzo Muller,Spain,Central Midfield,Sevilla FC,2023,13346024
1804,Enzo Muller,Argentina,Left Winger,Chelsea FC,2024,25220954
1805,Florian Silva,Spain,Left Winger,FC Porto,2022,8659823
1806,Sven Dubois,Spain,Left Winger,West Ham United,2023,7603015
1807,Diogo Schmidt,Brazil,Goalkeeper,AC Milan,2024,8158863
1808,Kai Williams,France,Right Winger,Real Sociedad,2024,6196660
1809,Mateo Fernandez,France,Right Winger,Paris Saint-Germain,2022,46894564
1810,Arthur Schmidt,Brazil,Left-Back,Villarreal CF,2024,6059540
1811,Javier Schmidt,Argentina,Central Midfield,Chelsea FC,2024,30298622
1812,Arthur Schmidt,Spain,Centre-Forward,Aston Villa,2023,11931436
1813,Liam Silva,Argentina,Right-Back,Everton FC,2023,1215068
1814,Leo Silva,Germany,Left-Back,Atlético de Madrid,2022,24206146
1815,Enzo Schmidt,Italy,Right Winger,Real Madrid,2024,20787382
1816,Owen Garcia,Uruguay,Centre-Forward,Villarreal CF,2024,9214922
1817,Javier Muller,Germany,Right-Back,Leicester City,2022,5365129
1818,Hugo Jones,Argentina,Attacking Midfield,AC Milan,2024,12180150
1819,Owen Bakker,Germany,Defensive Midfield,Sevilla FC,2022,11796221
1820,Enzo Fernandez,Germany,Right-Back,Sevilla FC,2022,6525841
1821,Kai Rossi,Uruguay,Left Winger,Tottenham Hotspur,2024,8319062
1822,Owen Dubois,France,Goalkeeper,Bayern Munich,2023,28660157
1823,Sven Jones,Germany,Left Winger,Ajax Amsterdam,2022,5010233
1824,Hugo Bakker,France,Right-Back,Inter Milan,2023,14522533
1825,Liam Brown,Argentina,Right Winger,Borussia Dortmund,2024,8581773
1826,Florian Schmidt,France,Goalkeeper,Everton FC,2023,8139025
1827,Kai Jones,Belgium,Attacking Midfield,AC Milan,2024,15279284
1828,Mateo Brown,Spain,Left Winger,West Ham United,2022,7962009
1829,Ben Garcia,France,Left Winger,Villarreal CF,2024,8302127
1830,Sven Fernandez,Italy,Left-Back,Villarreal CF,2023,8278375
1831,Antonio Schmidt,Italy,Centre-Back,Olympique Marseille,2024,7714194
1832,Ben Schmidt,Germany,Central Midfield,AC Milan,2024,16162384
1833,Sven Rossi,Brazil,Right Winger,Crystal Palace,2023,5301631
1834,Hugo Muller,Spain,Right-Back,Leicester City,2022,8042202
1835,Arthur Jones,Spain,Left Winger,AC Milan,2022,17658592
1836,Hugo Garcia,Germany,Goalkeeper,Crystal Palace,2022,6183645
1837,Liam Costa,England,Central Midfield,Leicester City,2022,814946
1838,Leo Garcia,Brazil,Left Winger,Man City,2022,29185335
1839,Florian Silva,Brazil,Centre-Forward,Paris Saint-Germain,2022,19992867
1840,Arthur Fernandez,Uruguay,Left-Back,Villarreal CF,2024,7011426
1841,Antonio Brown,France,Goalkeeper,Borussia Dortmund,2023,5416070
1842,Kai Rossi,Brazil,Defensive Midfield,Man United,2024,50793734
1843,Enzo Brown,Portugal,Centre-Forward,Bayern Munich,2024,56549038
1844,Liam Garcia,Germany,Right Winger,Real Sociedad,2024,9037513
1845,Florian Jones,Spain,Left Winger,Liverpool FC,2022,45091556
1846,Diogo Garcia,Netherlands,Central Midfield,SSC Napoli,2022,15979832
1847,Mateo Bakker,Brazil,Left-Back,Bayer 04 Leverkusen,2024,2206012
1848,Diogo Schmidt,Argentina,Right-Back,Everton FC,2022,6190589
1849,Diogo Garcia,Spain,Left Winger,FC Porto,2023,3779687
1850,Antonio Santos,England,Right Winger,Borussia Dortmund,2024,12335913
1851,Liam Costa,Argentina,Defensive Midfield,FC Barcelona,2023,22218777
1852,Hugo Dubois,Brazil,Defensive Midfield,Olympique Lyon,2023,7944245
1853,Ben Fernandez,Croatia,Right-Back,Everton FC,2024,4314070
1854,Antonio Silva,Belgium,Attacking Midfield,RB Leipzig,2023,9451763
1855,Antonio Jones,Brazil,Goalkeeper,Tottenham Hotspur,2022,15240944
1856,Diogo Costa,Netherlands,Right Winger,Tottenham Hotspur,2023,15092361
1857,Liam Santos,Brazil,Central Midfield,Liverpool FC,2023,40159007
1858,Hugo Muller,Spain,Attacking Midfield,Liverpool FC,2024,28240529
1859,Antonio Muller,France,Centre-Forward,Real Madrid,2024,47742641
1860,Mateo Santos,England,Centre-Forward,Ajax Amsterdam,2022,15315606
1861,Leo Brown,Brazil,Defensive Midfield,Juventus FC,2023,13070772
1862,Liam Muller,Wales,Left-Back,Juventus FC,2022,19140837
1863,Leo Jones,Italy,Attacking Midfield,Crystal Palace,2024,1635690
1864,Florian Bakker,Germany,Left-Back,Liverpool FC,2023,23648172
1865,Florian Brown,Brazil,Defensive Midfield,AS Roma,2022,5446686
1866,Ben Garcia,Spain,Right Winger,AS Roma,2023,3862605
1867,Javier Silva,Germany,Goalkeeper,Ajax Amsterdam,2023,8550754
1868,Florian Brown,Spain,Left Winger,SSC Napoli,2023,18226832
1869,Mateo Brown,Nigeria,Left-Back,Man City,2023,25376975
1870,Leo Williams,Brazil,Defensive Midfield,FC Barcelona,2023,17210984
1871,Leo Rossi,Italy,Centre-Back,FC Barcelona,2024,21396152
1872,Florian Costa,England,Right Winger,Inter Milan,2023,16336236
1873,Enzo Dubois,Brazil,Centre-Back,SSC Napoli,2023,10258909
1874,Liam Schmidt,Argentina,Left Winger,AC Milan,2023,16907506
1875,Florian Brown,Croatia,Right-Back,Bayer 04 Leverkusen,2022,12177056
1876,Florian Bakker,England,Goalkeeper,Leicester City,2022,3496807
1877,Ben Brown,Uruguay,Attacking Midfield,Bayer 04 Leverkusen,2023,7736113
1878,Owen Silva,Netherlands,Left-Back,Liverpool FC,2024,39130025
1879,Arthur Jones,Netherlands,Left Winger,Everton FC,2023,9384916
1880,Ben Costa,Spain,Goalkeeper,West Ham United,2024,3671273
1881,Javier Bakker,France,Defensive Midfield,Ajax Amsterdam,2022,10953237
1882,Hugo Garcia,Brazil,Attacking Midfield,Paris Saint-Germain,2024,32631398
1883,Sven Santos,Portugal,Right Winger,Chelsea FC,2022,27815308
1884,Javier Silva,Germany,Left Winger,Juventus FC,2024,18019371
1885,Liam Garcia,England,Central Midfield,FC Barcelona,2022,28566222
1886,Kai Brown,Nigeria,Right Winger,Borussia Dortmund,2023,20568170
1887,Liam Santos,Italy,Attacking Midfield,Bayern Munich,2022,23636353
1888,Kai Williams,France,Centre-Forward,Inter Milan,2023,19751833
1889,Leo Muller,Italy,Defensive Midfield,Borussia Dortmund,2022,8924466
1890,Javier Jones,France,Left Winger,Real Sociedad,2024,4949664
1891,Hugo Brown,England,Right-Back,FC Porto,2022,8040549
1892,Mateo Garcia,Netherlands,Central Midfield,AC Milan,2022,8019205
1893,Owen Dubois,Italy,Left-Back,Everton FC,2024,3994861
1894,Sven Schmidt,Brazil,Defensive Midfield,Liverpool FC,2023,39102528
1895,Javier Bakker,Netherlands,Centre-Back,West Ham United,2024,11976970
1896,Ben Santos,Germany,Centre-Forward,Aston Villa,2024,13659567
1897,Ben Garcia,Netherlands,Right-Back,Real Sociedad,2022,2256728
1898,Hugo Costa,France,Central Midfield,Real Sociedad,2022,7756245
1899,Owen Silva,England,Defensive Midfield,Bayer 04 Leverkusen,2023,5228873
1900,Enzo Brown,Argentina,Left Winger,Sevilla FC,2024,10722752
1901,Liam Dubois,Portugal,Attacking Midfield,Atlético de Madrid,2024,16257204
1902,Javier Rossi,Brazil,Left-Back,Inter Milan,2022,17283682
1903,Kai Silva,France,Central Midfield,Juventus FC,2023,16975310
1904,Ben Williams,Netherlands,Goalkeeper,RB Leipzig,2023,14209548
1905,Ben Muller,Brazil,Left-Back,Paris Saint-Germain,2023,44298525
1906,Leo Fernandez,Belgium,Left Winger,Bayer 04 Leverkusen,2023,13239854
1907,Liam Jones,Argentina,Central Midfield,Olympique Lyon,2023,7011976
1908,Enzo Dubois,Brazil,Centre-Forward,AS Roma,2023,10308289
1909,Leo Costa,Argentina,Right-Back,FC Barcelona,2024,24952571
1910,Florian Garcia,Germany,Attacking Midfield,FC Barcelona,2022,33512721
1911,Owen Santos,Spain,Central Midfield,Man United,2024,26566081
1912,Antonio Brown,Wales,Central Midfield,Bayer 04 Leverkusen,2023,10525463
1913,Liam Rossi,Brazil,Centre-Forward,Bayer 04 Leverkusen,2022,5020216
1914,Antonio Garcia,France,Right-Back,Real Sociedad,2022,3981574
1915,Mateo Santos,Germany,Right Winger,Villarreal CF,2024,2852318
1916,Leo Rossi,France,Goalkeeper,Everton FC,2023,1971288
1917,Ben Williams,Portugal,Left-Back,Everton FC,2022,6556384
1918,Owen Dubois,Argentina,Right Winger,FC Barcelona,2023,26157190
1919,Owen Rossi,France,Goalkeeper,SSC Napoli,2022,15600183
1920,Sven Jones,Germany,Central Midfield,Olympique Lyon,2023,726608
1921,Enzo Williams,Spain,Left Winger,Inter Milan,2023,27986308
1922,Arthur Schmidt,France,Left Winger,Borussia Dortmund,2024,14030563
1923,Mateo Jones,England,Left-Back,Man City,2022,32553008
1924,Antonio Schmidt,Uruguay,Right Winger,Bayern Munich,2024,51666952
1925,Owen Muller,Germany,Centre-Forward,Paris Saint-Germain,2023,19791984
1926,Liam Muller,Argentina,Left Winger,Leicester City,2022,7749068
1927,Mateo Rossi,England,Defensive Midfield,Leicester City,2022,1196978
1928,Sven Fernandez,France,Attacking Midfield,Borussia Dortmund,2022,10147424
1929,Antonio Williams,Portugal,Central Midfield,Arsenal FC,2024,30807281
1930,Kai Schmidt,England,Centre-Back,Arsenal FC,2023,23523759
1931,Antonio Brown,Brazil,Right Winger,Inter Milan,2022,32212190
1932,Sven Bakker,Spain,Right-Back,Paris Saint-Germain,2024,32764181
1933,Owen Muller,Italy,Centre-Forward,Olympique Marseille,2023,3500231
1934,Sven Dubois,Argentina,Defensive Midfield,Atlético de Madrid,2024,26540187
1935,Ben Schmidt,Brazil,Goalkeeper,Everton FC,2023,1652282
1936,Enzo Dubois,Spain,Centre-Back,Olympique Marseille,2023,6786351
1937,Antonio Bakker,Germany,Defensive Midfield,Aston Villa,2023,9101861
1938,Javier Schmidt,Spain,Goalkeeper,Olympique Marseille,2024,4804377
1939,Diogo Bakker,Italy,Attacking Midfield,Bayer 04 Leverkusen,2022,13945530
1940,Kai Muller,Uruguay,Left-Back,FC Porto,2024,7339643
1941,Enzo Rossi,Italy,Centre-Back,Liverpool FC,2022,29218210
1942,Mateo Silva,Belgium,Right-Back,RB Leipzig,2024,12803133
1943,Leo Fernandez,Germany,Defensive Midfield,Paris Saint-Germain,2023,43602387
1944,Arthur Dubois,Senegal,Centre-Forward,Olympique Marseille,2023,8511396
1945,Javier Williams,France,Defensive Midfield,Bayer 04 Leverkusen,2022,10772051
1946,Owen Schmidt,Portugal,Centre-Back,FC Barcelona,2022,20739437
1947,Ben Muller,Germany,Centre-Forward,RB Leipzig,2024,17102330
1948,Javier Muller,Belgium,Defensive Midfield,Inter Milan,2022,24900459
1949,Enzo Muller,Germany,Goalkeeper,Villarreal CF,2022,2805365
1950,Florian Schmidt,Argentina,Centre-Forward,Arsenal FC,2022,14279175
1951,Leo Fernandez,France,Right-Back,FC Porto,2022,7614157
1952,Enzo Costa,Senegal,Defensive Midfield,Villarreal CF,2023,7971215
1953,Kai Jones,Brazil,Right-Back,Inter Milan,2022,26866833
1954,Antonio Rossi,Portugal,Defensive Midfield,SSC Napoli,2023,11190074
1955,Javier Schmidt,Spain,Right Winger,Atlético de Madrid,2024,26719622
1956,Mateo Muller,Germany,Left-Back,SL Benfica,2023,3581844
1957,Antonio Costa,Belgium,Left Winger,Juventus FC,2024,32778849
1958,Antonio Schmidt,France,Attacking Midfield,FC Barcelona,2023,38468105
1959,Liam Costa,Germany,Centre-Forward,Real Madrid,2023,56294617
1960,Enzo Jones,Spain,Left Winger,Aston Villa,2023,7565898
1961,Antonio Costa,Germany,Left Winger,Bayern Munich,2022,49361154
1962,Ben Brown,England,Centre-Forward,Olympique Lyon,2024,2509946
1963,Enzo Dubois,Netherlands,Left Winger,SSC Napoli,2024,22581853
1964,Arthur Schmidt,Belgium,Right-Back,Liverpool FC,2022,25379431
1965,Owen Dubois,Nigeria,Right-Back,Liverpool FC,2023,32383751
1966,Hugo Santos,Germany,Right-Back,Chelsea FC,2022,14177083
1967,Enzo Brown,France,Attacking Midfield,Juventus FC,2024,18125804
1968,Florian Santos,Argentina,Left-Back,Paris Saint-Germain,2023,48014981
1969,Enzo Silva,Brazil,Centre-Forward,Crystal Palace,2024,7002264
1970,Ben Schmidt,Germany,Centre-Forward,Liverpool FC,2023,45890339
1971,Enzo Silva,Netherlands,Left-Back,West Ham United,2024,4777772
1972,Enzo Rossi,France,Left Winger,FC Porto,2022,8498146
1973,Ben Williams,Brazil,Left Winger,AC Milan,2023,16276080
1974,Leo Fernandez,England,Defensive Midfield,Aston Villa,2023,8220524
1975,Sven Jones,Netherlands,Centre-Forward,West Ham United,2022,10062802
1976,Florian Bakker,England,Centre-Forward,Borussia Dortmund,2024,12346900
1977,Owen Santos,France,Right-Back,Everton FC,2024,3877187
1978,Leo Santos,Brazil,Defensive Midfield,Leicester City,2022,2000714
1979,Owen Bakker,Argentina,Right Winger,Man United,2023,45846874
1980,Enzo Muller,Spain,Left-Back,Olympique Lyon,2023,3840956
1981,Arthur Garcia,England,Left Winger,Bayer 04 Leverkusen,2024,10508186
1982,Owen Fernandez,Italy,Centre-Back,Inter Milan,2023,26449322
1983,Hugo Costa,Spain,Centre-Back,Arsenal FC,2022,28943466
1984,Arthur Rossi,Portugal,Goalkeeper,AC Milan,2024,14006141
1985,Enzo Garcia,Spain,Left Winger,Bayern Munich,2022,27012002
1986,Liam Costa,England,Centre-Back,AC Milan,2022,19140943
1987,Kai Brown,France,Attacking Midfield,Olympique Lyon,2023,2025694
1988,Arthur Garcia,Portugal,Centre-Forward,Inter Milan,2024,21692508
1989,Leo Costa,England,Right-Back,Crystal Palace,2022,2084662
1990,Kai Schmidt,England,Centre-Back,Aston Villa,2023,9094562
1991,Liam Costa,Germany,Defensive Midfield,Man City,2024,49362590
1992,Antonio Dubois,Argentina,Attacking Midfield,Paris Saint-Germain,2024,23618921
1993,Owen Muller,Netherlands,Centre-Back,FC Porto,2022,10908072
1994,Arthur Schmidt,Germany,Attacking Midfield,Inter Milan,2023,13858086
1995,Owen Fernandez,Brazil,Right-Back,Liverpool FC,2023,42180777
1996,Leo Schmidt,Argentina,Defensive Midfield,Paris Saint-Germain,2024,41910020
1997,Diogo Muller,Germany,Centre-Forward,Tottenham Hotspur,2023,14350141
1998,Kai Costa,Italy,Left-Back,SSC Napoli,2023,5972113
1999,Mateo Silva,England,Right-Back,Man United,2023,46889149
2000,Mateo Garcia,Italy,Right Winger,Olympique Lyon,2022,6672769
2001,Florian Santos,Brazil,Left-Back,Real Sociedad,2022,7045008
2002,Antonio Garcia,France,Attacking Midfield,AS Roma,2023,4960104
2003,Antonio Williams,France,Centre-Back,Ajax Amsterdam,2022,4405600
2004,Enzo Muller,Portugal,Right Winger,Leicester City,2023,955066
2005,Diogo Dubois,Germany,Attacking Midfield,Man City,2024,62253220
2006,Arthur Costa,Brazil,Left-Back,Sevilla FC,2022,7589067
2007,Javier Williams,England,Right Winger,Villarreal CF,2022,10005080
2008,Antonio Brown,Netherlands,Right Winger,Borussia Dortmund,2022,16864405
2009,Antonio Rossi,Brazil,Defensive Midfield,Tottenham Hotspur,2022,6353004
2010,Hugo Jones,Senegal,Right Winger,Inter Milan,2022,36281199
2011,Hugo Bakker,Belgium,Left-Back,Aston Villa,2024,6355028
2012,Florian Bakker,Brazil,Centre-Forward,Man United,2023,49481043
2013,Owen Silva,Germany,Left-Back,Chelsea FC,2024,24506797
2014,Leo Bakker,Uruguay,Central Midfield,Arsenal FC,2022,28367685
2015,Arthur Jones,Argentina,Left-Back,Leicester City,2022,8283001
2016,Arthur Williams,France,Centre-Back,Juventus FC,2022,18770223
2017,Kai Brown,France,Right-Back,West Ham United,2024,12844993
2018,Enzo Jones,Netherlands,Centre-Forward,Chelsea FC,2024,38831810
2019,Arthur Williams,Argentina,Left Winger,Real Sociedad,2022,8437341
2020,Javier Silva,Brazil,Goalkeeper,FC Porto,2024,9189171
2021,Diogo Muller,Portugal,Central Midfield,Inter Milan,2024,19827481
2022,Owen Costa,England,Left Winger,Olympique Lyon,2024,742491
2023,Enzo Dubois,Portugal,Defensive Midfield,AC Milan,2023,12555883
2024,Hugo Dubois,Spain,Right Winger,SL Benfica,2024,11231803
2025,Mateo Jones,Croatia,Left Winger,Juventus FC,2023,18680249
2026,Kai Garcia,Brazil,Left Winger,Leicester City,2024,8749966
2027,Kai Garcia,Brazil,Attacking Midfield,Ajax Amsterdam,2022,13081159
2028,Antonio Fernandez,Germany,Right Winger,Ajax Amsterdam,2024,12118902
2029,Kai Silva,Germany,Centre-Back,RB Leipzig,2024,9399043
2030,Enzo Dubois,England,Centre-Back,AC Milan,2022,15941904
2031,Owen Dubois,Colombia,Left-Back,Paris Saint-Germain,2024,31692626
2032,Leo Williams,Portugal,Centre-Back,Arsenal FC,2024,16481613
2033,Sven Rossi,Brazil,Right-Back,Everton FC,2023,3897008
2034,Antonio Dubois,Netherlands,Left-Back,Sevilla FC,2022,7879442
2035,Owen Dubois,Brazil,Central Midfield,RB Leipzig,2023,15168088
2036,Hugo Williams,Brazil,Centre-Forward,Paris Saint-Germain,2023,29757051
2037,Enzo Garcia,Brazil,Right Winger,AC Milan,2024,17061393
2038,Arthur Costa,Netherlands,Left Winger,SSC Napoli,2024,20568244
2039,Ben Schmidt,Brazil,Left Winger,Juventus FC,2024,27300270
2040,Kai Garcia,Brazil,Central Midfield,Bayer 04 Leverkusen,2022,9265406
2041,Mateo Schmidt,England,Goalkeeper,Borussia Dortmund,2023,18996801
2042,Diogo Costa,Portugal,Left-Back,Man City,2022,22180728
2043,Owen Rossi,Brazil,Goalkeeper,FC Barcelona,2022,29602488
2044,Antonio Rossi,Germany,Left-Back,Atlético de Madrid,2024,15049669
2045,Mateo Fernandez,Spain,Goalkeeper,AS Roma,2023,9791628
2046,Hugo Muller,Italy,Left Winger,Man United,2022,27455959
2047,Kai Santos,Portugal,Centre-Back,Man City,2022,38991734
2048,Sven Costa,Spain,Right Winger,SSC Napoli,2022,11857466
2049,Javier Dubois,France,Right Winger,Atlético de Madrid,2024,22155052
2050,Javier Garcia,Colombia,Defensive Midfield,Chelsea FC,2024,28695544
2051,Javier Santos,Germany,Centre-Back,Chelsea FC,2023,24531068
2052,Enzo Schmidt,Spain,Central Midfield,AC Milan,2023,13541912
2053,Antonio Costa,Netherlands,Left Winger,SSC Napoli,2022,12193903
2054,Hugo Brown,Spain,Left Winger,Aston Villa,2023,11974832
2055,Sven Costa,Brazil,Left-Back,Atlético de Madrid,2022,16466129
2056,Ben Schmidt,Argentina,Right Winger,Bayer 04 Leverkusen,2023,7601525
2057,Kai Rossi,France,Right Winger,Leicester City,2022,5453109
2058,Diogo Jones,Netherlands,Central Midfield,AC Milan,2023,16883970
2059,Kai Silva,France,Centre-Forward,Everton FC,2024,6983479
2060,Arthur Garcia,Uruguay,Central Midfield,Bayer 04 Leverkusen,2024,8631821
2061,Ben Silva,France,Goalkeeper,Bayern Munich,2024,36406110
2062,Javier Fernandez,France,Right-Back,AC Milan,2022,6589176
2063,Antonio Silva,Germany,Defensive Midfield,FC Barcelona,2024,14825199
2064,Enzo Silva,Spain,Centre-Back,RB Leipzig,2022,14970225
2065,Arthur Costa,Netherlands,Centre-Back,Villarreal CF,2023,6006060
2066,Mateo Costa,Spain,Defensive Midfield,Chelsea FC,2024,22857749
2067,Diogo Jones,France,Central Midfield,FC Barcelona,2024,13009271
2068,Enzo Muller,Argentina,Attacking Midfield,AC Milan,2023,12059778
2069,Javier Williams,Brazil,Left-Back,Man United,2022,42153714
2070,Mateo Garcia,Brazil,Right-Back,Man City,2024,53816767
2071,Arthur Schmidt,Portugal,Right-Back,Atlético de Madrid,2024,12452157
2072,Owen Schmidt,Wales,Left Winger,Man United,2023,22571793
2073,Antonio Santos,Spain,Defensive Midfield,Bayern Munich,2023,52146736
2074,Diogo Schmidt,Netherlands,Left Winger,West Ham United,2022,5933544
2075,Hugo Muller,Netherlands,Goalkeeper,Tottenham Hotspur,2023,5934655
2076,Florian Garcia,Uruguay,Central Midfield,Real Madrid,2022,26512595
2077,Liam Brown,Germany,Centre-Forward,Everton FC,2022,9151850
2078,Leo Garcia,Brazil,Left-Back,Chelsea FC,2024,14449403
2079,Diogo Rossi,Spain,Centre-Forward,Atlético de Madrid,2022,27641748
2080,Ben Brown,Portugal,Attacking Midfield,Bayern Munich,2024,36900890
2081,Hugo Garcia,Brazil,Goalkeeper,Everton FC,2023,1054328
2082,Liam Brown,France,Right Winger,FC Porto,2023,13698728
2083,Ben Garcia,Spain,Right-Back,AC Milan,2022,9513005
